,User,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
334,JoelAndAbby,81.0,0.9878048780487805,1.0,0.012195121951219513,82.0,Bullish
29,MP93,51.0,0.6296296296296297,30.0,0.37037037037037035,81.0,Unpredictable
733,HeyMeNotYou,81.0,1.0,0.0,0.0,81.0,Bullish
408,HCIM,77.0,0.9625,3.0,0.0375,80.0,Bullish
2609,DisruptiveTechnology,80.0,1.0,0.0,0.0,80.0,Bullish
4195,psychedelic_syd,0.0,0.0,78.0,1.0,78.0,Bearish
5130,meesopho,0.0,0.0,78.0,1.0,78.0,Bearish
1584,TheZman13,38.0,0.48717948717948717,40.0,0.5128205128205128,78.0,Unpredictable
3255,stockguru312,11.0,0.14285714285714285,66.0,0.8571428571428571,77.0,Bearish
1669,Lokmyster69,5.0,0.06578947368421052,71.0,0.9342105263157895,76.0,Bearish
131,KeepCalmGoLong,76.0,1.0,0.0,0.0,76.0,Bullish
4496,2cents2handle,0.0,0.0,75.0,1.0,75.0,Bearish
4225,seals44,0.0,0.0,72.0,1.0,72.0,Bearish
2044,Momootti,1.0,0.013888888888888888,71.0,0.9861111111111112,72.0,Bearish
162,scalperking,40.0,0.5714285714285714,30.0,0.42857142857142855,70.0,Unpredictable
770,bulling,70.0,1.0,0.0,0.0,70.0,Bullish
982,fatbitch420,50.0,0.7142857142857143,20.0,0.2857142857142857,70.0,Unpredictable
1137,priced_in,10.0,0.14492753623188406,59.0,0.855072463768116,69.0,Bearish
116,Survivor2000,3.0,0.043478260869565216,66.0,0.9565217391304348,69.0,Bearish
1661,eelam_star,3.0,0.043478260869565216,66.0,0.9565217391304348,69.0,Bearish
835,RealPaidPumper,69.0,1.0,0.0,0.0,69.0,Bullish
746,Risktolerance,47.0,0.6911764705882353,21.0,0.3088235294117647,68.0,Unpredictable
201,tradinginvestor,68.0,1.0,0.0,0.0,68.0,Bullish
1682,wusa,68.0,1.0,0.0,0.0,68.0,Bullish
1570,Goldbrock,14.0,0.20588235294117646,54.0,0.7941176470588235,68.0,Unpredictable
2514,unattached,2.0,0.029850746268656716,65.0,0.9701492537313433,67.0,Bearish
3201,BearEconomy,10.0,0.14925373134328357,57.0,0.8507462686567164,67.0,Bearish
421,Malachi_Constant,18.0,0.2727272727272727,48.0,0.7272727272727273,66.0,Unpredictable
119,zredpill,66.0,1.0,0.0,0.0,66.0,Bullish
454,AllenWindsor52,65.0,1.0,0.0,0.0,65.0,Bullish
647,20TRUMP20,41.0,0.6307692307692307,24.0,0.36923076923076925,65.0,Unpredictable
1452,Stocks2buy,65.0,1.0,0.0,0.0,65.0,Bullish
568,ChocolateThunder47,65.0,1.0,0.0,0.0,65.0,Bullish
4501,1212pene,0.0,0.0,64.0,1.0,64.0,Bearish
1,L1_Trading,52.0,0.8125,12.0,0.1875,64.0,Bullish
