,Security,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
81,$V,21.0,1.0,0.0,0.0,21.0,Bullish
310,$WORK,19.0,0.95,1.0,0.05,20.0,Bullish
589,$DAX,4.0,0.2,16.0,0.8,20.0,Bearish
179,$$$,7.0,0.35,13.0,0.65,20.0,Unpredictable
307,$IDEX,20.0,1.0,0.0,0.0,20.0,Bullish
293,$325,16.0,0.8,4.0,0.2,20.0,Bullish
50,$MU,16.0,0.8421052631578947,3.0,0.15789473684210525,19.0,Unpredictable
407,$330,15.0,0.7894736842105263,4.0,0.21052631578947367,19.0,Unpredictable
168,$GILD,14.0,0.7368421052631579,5.0,0.2631578947368421,19.0,Unpredictable
2,$RCL,10.0,0.5263157894736842,9.0,0.47368421052631576,19.0,Unpredictable
580,$SNAP,15.0,0.8333333333333334,3.0,0.16666666666666666,18.0,Unpredictable
8,$PM,18.0,1.0,0.0,0.0,18.0,Unpredictable
339,$100,14.0,0.8235294117647058,3.0,0.17647058823529413,17.0,Unpredictable
98,$RTX,17.0,1.0,0.0,0.0,17.0,Unpredictable
557,$GDX,11.0,0.6470588235294118,6.0,0.35294117647058826,17.0,Unpredictable
323,$NQ_F,9.0,0.5294117647058824,8.0,0.47058823529411764,17.0,Unpredictable
520,$BRK.B,16.0,0.9411764705882353,1.0,0.058823529411764705,17.0,Unpredictable
53,$400,15.0,0.9375,1.0,0.0625,16.0,Unpredictable
140,$TWO,16.0,1.0,0.0,0.0,16.0,Unpredictable
524,$323,10.0,0.625,6.0,0.375,16.0,Unpredictable
212,$TQQQ,12.0,0.75,4.0,0.25,16.0,Unpredictable
398,$USO,2.0,0.13333333333333333,13.0,0.8666666666666667,15.0,Unpredictable
733,$1,5.0,0.3333333333333333,10.0,0.6666666666666666,15.0,Unpredictable
335,$SPY.,10.0,0.6666666666666666,5.0,0.3333333333333333,15.0,Unpredictable
105,$XSPA,13.0,0.9285714285714286,1.0,0.07142857142857142,14.0,Unpredictable
298,$310,2.0,0.14285714285714285,12.0,0.8571428571428571,14.0,Unpredictable
368,$INO,12.0,0.8571428571428571,2.0,0.14285714285714285,14.0,Unpredictable
287,$IBM,13.0,0.9285714285714286,1.0,0.07142857142857142,14.0,Unpredictable
83,$JNJ,13.0,0.9285714285714286,1.0,0.07142857142857142,14.0,Unpredictable
372,$SPXU,1.0,0.07142857142857142,13.0,0.9285714285714286,14.0,Unpredictable
351,$DXY,5.0,0.38461538461538464,8.0,0.6153846153846154,13.0,Unpredictable
118,$XLK,9.0,0.6923076923076923,4.0,0.3076923076923077,13.0,Unpredictable
343,$HAL,13.0,1.0,0.0,0.0,13.0,Unpredictable
356,$SPXS,6.0,0.46153846153846156,7.0,0.5384615384615384,13.0,Unpredictable
402,$EROS,5.0,0.38461538461538464,8.0,0.6153846153846154,13.0,Unpredictable
15,$322,8.0,0.6153846153846154,5.0,0.38461538461538464,13.0,Unpredictable
95,$1.2M,12.0,1.0,0.0,0.0,12.0,Unpredictable
1021,$OPK,12.0,1.0,0.0,0.0,12.0,Unpredictable
778,$IFRX,12.0,1.0,0.0,0.0,12.0,Unpredictable
365,$PEP,12.0,1.0,0.0,0.0,12.0,Unpredictable
25,$JNUG,11.0,0.9166666666666666,1.0,0.08333333333333333,12.0,Unpredictable
7,$KERN,10.0,0.8333333333333334,2.0,0.16666666666666666,12.0,Unpredictable
705,$RUT,1.0,0.08333333333333333,11.0,0.9166666666666666,12.0,Unpredictable
252,$200,8.0,0.6666666666666666,4.0,0.3333333333333333,12.0,Unpredictable
809,$CHAD,12.0,1.0,0.0,0.0,12.0,Unpredictable
113,$ALT,12.0,1.0,0.0,0.0,12.0,Unpredictable
202,$315,3.0,0.25,9.0,0.75,12.0,Unpredictable
312,$30,7.0,0.6363636363636364,4.0,0.36363636363636365,11.0,Unpredictable
189,$UPRO,11.0,1.0,0.0,0.0,11.0,Unpredictable
413,$BRK.A,11.0,1.0,0.0,0.0,11.0,Unpredictable
255,$EBAY,8.0,0.7272727272727273,3.0,0.2727272727272727,11.0,Unpredictable
94,$12000,11.0,1.0,0.0,0.0,11.0,Unpredictable
108,$LVGO,11.0,1.0,0.0,0.0,11.0,Unpredictable
461,$XLE,10.0,0.9090909090909091,1.0,0.09090909090909091,11.0,Unpredictable
37,$JD,11.0,1.0,0.0,0.0,11.0,Unpredictable
278,$SPG,11.0,1.0,0.0,0.0,11.0,Unpredictable
232,$SQ,10.0,0.9090909090909091,1.0,0.09090909090909091,11.0,Unpredictable
321,$318,5.0,0.45454545454545453,6.0,0.5454545454545454,11.0,Unpredictable
432,$GE,6.0,0.5454545454545454,5.0,0.45454545454545453,11.0,Unpredictable
571,$CZR,11.0,1.0,0.0,0.0,11.0,Unpredictable
621,$CAT,10.0,0.9090909090909091,1.0,0.09090909090909091,11.0,Unpredictable
653,$10,5.0,0.5,5.0,0.5,10.0,Unpredictable
301,$PTON,7.0,0.7,3.0,0.3,10.0,Unpredictable
495,$$,5.0,0.5,5.0,0.5,10.0,Unpredictable
225,$NBRV,8.0,0.8,2.0,0.2,10.0,Unpredictable
518,$VXRT,9.0,0.9,1.0,0.1,10.0,Unpredictable
110,$KSS,10.0,1.0,0.0,0.0,10.0,Unpredictable
756,$DPZ,10.0,1.0,0.0,0.0,10.0,Unpredictable
377,$KTOV,10.0,1.0,0.0,0.0,10.0,Unpredictable
235,$MGM,7.0,0.7,3.0,0.3,10.0,Unpredictable
233,$SHLL,9.0,0.9,1.0,0.1,10.0,Unpredictable
115,$SOLO,8.0,0.8,2.0,0.2,10.0,Unpredictable
