,Word,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
321,run,187.0,0.5718654434250765,140.0,0.42813455657492355,327.0,Unpredictable
592,month,171.0,0.5245398773006135,155.0,0.4754601226993865,326.0,Unpredictable
358,don,175.0,0.5573248407643312,139.0,0.4426751592356688,314.0,Unpredictable
121,wait,141.0,0.4533762057877814,170.0,0.5466237942122186,311.0,Unpredictable
273,feed,125.0,0.40192926045016075,186.0,0.5980707395498392,311.0,Unpredictable
110,tech,116.0,0.3741935483870968,194.0,0.6258064516129033,310.0,Unpredictable
349,china,116.0,0.37540453074433655,193.0,0.6245954692556634,309.0,Unpredictable
166,hour,221.0,0.7175324675324676,87.0,0.2824675324675325,308.0,Unpredictable
377,move,202.0,0.6644736842105263,102.0,0.3355263157894737,304.0,Unpredictable
843,way,151.0,0.49834983498349833,152.0,0.5016501650165016,303.0,Unpredictable
73,invite,293.0,0.9932203389830508,2.0,0.006779661016949152,295.0,Bullish
340,could,151.0,0.511864406779661,144.0,0.488135593220339,295.0,Unpredictable
710,much,153.0,0.5204081632653061,141.0,0.47959183673469385,294.0,Unpredictable
126,vix,164.0,0.5616438356164384,128.0,0.4383561643835616,292.0,Unpredictable
72,discord,290.0,0.9965635738831615,1.0,0.003436426116838488,291.0,Bullish
223,another,175.0,0.6118881118881119,111.0,0.3881118881118881,286.0,Unpredictable
790,soon,149.0,0.5228070175438596,136.0,0.47719298245614034,285.0,Unpredictable
400,really,181.0,0.6441281138790036,100.0,0.35587188612099646,281.0,Unpredictable
567,re,158.0,0.5642857142857143,122.0,0.4357142857142857,280.0,Unpredictable
336,end,138.0,0.4981949458483754,139.0,0.5018050541516246,277.0,Unpredictable
773,bececause,126.0,0.4701492537313433,142.0,0.5298507462686567,268.0,Unpredictable
769,thing,127.0,0.4756554307116105,140.0,0.5243445692883895,267.0,Unpredictable
271,bearish,88.0,0.33460076045627374,175.0,0.6653992395437263,263.0,Unpredictable
593,every,131.0,0.5,131.0,0.5,262.0,Unpredictable
475,monday,149.0,0.5687022900763359,113.0,0.4312977099236641,262.0,Unpredictable
669,guy,174.0,0.6692307692307692,86.0,0.33076923076923076,260.0,Unpredictable
13,many,139.0,0.5387596899224806,119.0,0.46124031007751937,258.0,Unpredictable
798,watch,128.0,0.49612403100775193,130.0,0.5038759689922481,258.0,Unpredictable
846,crash,64.0,0.24806201550387597,194.0,0.751937984496124,258.0,Unpredictable
681,top,95.0,0.37254901960784315,160.0,0.6274509803921569,255.0,Unpredictable
124,win,153.0,0.6,102.0,0.4,255.0,Unpredictable
473,happen,106.0,0.42231075697211157,145.0,0.5776892430278885,251.0,Unpredictable
144,great,156.0,0.6265060240963856,93.0,0.37349397590361444,249.0,Unpredictable
